"date","hospit","serial_interval","delay_distr"
2020-08-29,1,0.0,6.816489075991369e-16
2020-08-30,3,0.0,5.687767036763807e-16
2020-08-31,6,0.0,4.745919525867531e-16
2020-09-01,1,0.0,3.9600118062912413e-16
2020-09-02,4,0.0,3.3042291652477334e-16
2020-09-03,3,0.0,2.7570296427268576e-16
2020-09-04,8,0.0,2.30043694241711e-16
2020-09-05,12,0.0,1.9194503361392541e-16
2020-09-06,9,0.0,1.6015522080181323e-16
2020-09-07,7,0.0,1.3362970855786984e-16
2020-09-08,6,0.0,1.1149686766152808e-16
2020-09-09,13,0.0,9.302936605508246e-17
2020-09-10,14,0.0,7.762028441150489e-17
2020-09-11,11,0.0,6.476318444948511e-17
2020-09-12,17,0.0,5.403547595366981e-17
2020-09-13,10,0.0,4.508453665871717e-17
2020-09-14,13,0.0,3.761612946000261e-17
2020-09-15,13,0.0,3.138473678104681e-17
2020-09-16,20,0.0,2.618549482814522e-17
2020-09-17,12,0.0,2.1847462958026913e-17
2020-09-18,13,0.0,1.8228007195508963e-17
2020-09-19,24,0.0,1.520811350137206e-17
2020-09-20,19,0.0,1.2688476904863404e-17
2020-09-21,20,0.0,1.0586238080907488e-17
2020-09-22,14,0.0,8.832260204374134e-18
2020-09-23,24,0.0,7.368856649606212e-18
2020-09-24,26,0.0,6.14789490456569e-18
2020-09-25,18,0.0,5.129214420918189e-18
2020-09-26,12,0.0,4.279306429344852e-18
2020-09-27,19,0.0,3.570212351521244e-18
2020-09-28,21,0.0,2.978604618773744e-18
2020-09-29,14,0.0,2.4850196979608616e-18
2020-09-30,19,0.0,2.0732181242133066e-18
2020-10-01,23,0.0,1.7296505118598857e-18
2020-10-02,19,0.0,1.4430119960851879e-18
2020-10-03,11,0.0,1.2038704628720406e-18
2020-10-04,20,0.0,1.0043563489366057e-18
2020-10-05,29,0.0,8.379038162457316e-19
2020-10-06,10,0.0,6.990347937278024e-19
2020-10-07,16,0.0,5.831787873717875e-19
2020-10-08,9,0.0,4.865225353060572e-19
2020-10-09,14,0.0,4.0588456525585092e-19
2020-10-10,14,0.0,3.3861053020578244e-19
2020-10-11,14,0.0,2.8248588102046014e-19
2020-10-12,24,0.0,2.3566300463253225e-19
2020-10-13,17,0.0,1.96600431911277e-19
2020-10-14,20,0.0,1.640121160959767e-19
2020-10-15,21,0.0,1.3682511375124743e-19
2020-10-16,18,0.0,1.1414427645301545e-19
2020-10-17,15,0.0,9.522279192042611e-20
2020-10-18,24,0.0,7.94376056444594e-20
2020-10-19,24,0.0,6.626891454856837e-20
2020-10-20,19,0.0,5.528305812404976e-20
2020-10-21,25,0.0,4.6118244213800425e-20
2020-10-22,18,0.0,3.8472639844788913e-20
2020-10-23,26,0.0,3.20944352961094e-20
2020-10-24,22,0.0,2.6773554492745937e-20
2020-10-25,26,0.0,2.2334738968645198e-20
2020-10-26,30,0.0,1.8631777826603787e-20
2020-10-27,34,0.0,1.554269382228471e-20
2020-10-28,30,0.0,1.296572715486136e-20
2020-10-29,37,0.0,1.0815984791584219e-20
2020-10-30,33,0.0,9.022645050936693e-21
2020-10-31,40,0.0,7.526625439052793e-21
2020-11-01,36,0.0,6.2786369775182926e-21
2020-11-02,40,0.0,5.237560978880221e-21
2020-11-03,41,0.0,4.36909483743071e-21
2020-11-04,52,0.0,3.6446222561185496e-21
2020-11-05,49,0.0,3.0402707169807395e-21
2020-11-06,32,0.0,2.5361251652468722e-21
2020-11-07,28,0.0,2.1155720189814746e-21
2020-11-08,38,0.0,1.7647519059403603e-21
2020-11-09,56,0.0,1.4721031083581763e-21
2020-11-10,36,0.0,1.2279806824081726e-21
2020-11-11,46,0.0,1.0243387103287226e-21
2020-11-12,32,0.0,8.54465221250376e-22
2020-11-13,39,0.0,7.127610537899591e-22
2020-11-14,33,0.0,5.94555371025228e-22
2020-11-15,32,0.0,4.959517610804593e-22
2020-11-16,50,0.0,4.1369984747701855e-22
2020-11-17,61,0.0,3.4508818337170526e-22
2020-11-18,46,0.0,2.8785490129643884e-22
2020-11-19,40,0.0,2.4011317523124046e-22
2020-11-20,41,0.0,2.002890396601478e-22
2020-11-21,30,0.0,1.6706951723132725e-22
2020-11-22,39,0.0,1.3935934616559694e-22
2020-11-23,47,0.0,1.1624488180915237e-22
2020-11-24,39,0.0,9.696398303183515e-23
2020-11-25,46,0.0,8.088089131186052e-23
2020-11-26,46,0.0,6.746527481238521e-23
2020-11-27,30,0.0,5.627474695990109e-23
2020-11-28,30,0.0,4.694028349706168e-23
2020-11-29,34,0.0,3.9154057472374623e-23
2020-11-30,44,0.0,3.265929129076565e-23
2020-12-01,50,0.0,2.7241791405776926e-23
2020-12-02,50,0.0,2.2722886674742936e-23
2020-12-03,54,0.0,1.8953537648629048e-23
2020-12-04,55,0.0,1.5809422651615413e-23
2020-12-05,66,0.0,1.3186838692812707e-23
2020-12-06,69,0.0,1.0999282103906635e-23
2020-12-07,90,0.0,9.174596196538449e-24
2020-12-08,62,0.0,7.652591919719066e-24
2020-12-09,75,0.0,6.383063086131988e-24
2020-12-10,99,0.0,5.324130740346505e-24
2020-12-11,93,0.0,4.44086209016521e-24
2020-12-12,83,0.0,3.704118471974806e-24
2020-12-13,103,0.0,3.0895943702211224e-24
2020-12-14,126,0.0,2.5770158087261805e-24
2020-12-15,145,0.0,2.1494716850133544e-24
2020-12-16,140,0.0,1.792856001212496e-24
2020-12-17,146,0.0,1.4954026008916678e-24
2020-12-18,147,0.0,1.2472970707760965e-24
2020-12-19,152,0.0,1.0403530102672111e-24
2020-12-20,128,0.0,8.677419938033693e-25
2020-12-21,181,0.0,7.237683213479786e-25
2020-12-22,147,0.0,6.036811289940576e-25
2020-12-23,152,0.0,5.0351766350802165e-25
2020-12-24,121,0.0,4.199725522011038e-25
2020-12-25,166,0.0,3.5028875668460334e-25
2020-12-26,143,0.0,2.9216661408939476e-25
2020-12-27,138,0.0,2.4368796578070467e-25
2020-12-28,209,0.0,2.0325287113791035e-25
2020-12-29,142,0.0,1.6952681899776969e-25
2020-12-30,126,0.0,1.413966955602846e-25
2020-12-31,121,0.0,1.1793405634282178e-25
2021-01-01,148,0.0,9.836449066119076e-26
2021-01-02,137,0.0,8.204206805831768e-26
2021-01-03,115,0.0,6.84280237172625e-26
2021-01-04,157,0.0,5.707297971221343e-26
2021-01-05,105,0.0,4.760211557898768e-26
2021-01-06,128,0.0,3.970279897113689e-26
2021-01-07,138,0.0,3.3114268316992043e-26
2021-01-08,117,0.0,2.761902708285085e-26
2021-01-09,113,0.0,2.3035665710233427e-26
2021-01-10,107,0.0,1.9212874392736503e-26
2021-01-11,122,0.0,1.6024449143732458e-26
2021-01-12,96,0.0,1.3365126375630774e-26
2021-01-13,105,0.0,1.1147108545413636e-26
2021-01-14,85,0.0,9.297166221197868e-27
2021-01-15,99,0.0,7.754220942673477e-27
2021-01-16,78,0.0,6.46732911171285e-27
2021-01-17,80,0.0,5.394000381482555e-27
2021-01-18,125,0.0,4.498795049489882e-27
2021-01-19,105,0.0,3.752154166233542e-27
2021-01-20,66,0.0,3.129423750191091e-27
2021-01-21,88,0.0,2.610040905085591e-27
2021-01-22,80,0.0,2.176854978031664e-27
2021-01-23,58,0.0,1.815561353522479e-27
2021-01-24,60,0.0,1.5142291953029565e-27
2021-01-25,73,0.0,1.2629075486144812e-27
2021-01-26,50,0.0,1.0532968013844982e-27
2021-01-27,58,0.0,8.784746599943605e-28
2021-01-28,51,0.0,7.326675944620925e-28
2021-01-29,47,0.0,6.110602085882645e-28
2021-01-30,29,0.0,5.096362423503761e-28
2021-01-31,40,0.0,4.250459578979687e-28
2021-02-01,46,0.0,3.544955313484722e-28
2021-02-02,36,0.0,2.956547989496754e-28
2021-02-03,30,0.0,2.4658031202811036e-28
2021-02-04,32,0.0,2.056511604769228e-28
2021-02-05,38,0.0,1.7151544602853206e-28
2021-02-06,18,0.0,1.4304563811648742e-28
2021-02-07,29,0.0,1.1930133835985244e-28
2021-02-08,35,0.0,9.949822427968604e-29
2021-02-09,40,0.0,8.298214685281731e-29
2021-02-10,36,0.0,6.920752665598441e-29
2021-02-11,22,0.0,5.77193352693759e-29
2021-02-12,22,0.0,4.813806697685652e-29
2021-02-13,33,0.0,4.01472045276513e-29
2021-02-14,21,0.0,3.348276506983685e-29
2021-02-15,25,0.0,2.792458104775651e-29
2021-02-16,20,0.0,2.3289028140594957e-29
2021-02-17,22,0.0,1.9422960098813358e-29
2021-02-18,31,0.0,1.619865018621454e-29
2021-02-19,30,0.0,1.350957217361871e-29
2021-02-20,23,0.0,1.1266881552776452e-29
2021-02-21,19,0.0,9.39648076142553e-30
2021-02-22,28,0.0,7.836571495678884e-30
2021-02-23,24,0.0,6.535613270904247e-30
2021-02-24,32,0.0,5.4506208079740194e-30
2021-02-25,34,0.0,4.545744011161615e-30
2021-02-26,26,0.0,3.7910836364737124e-30
2021-02-27,27,0.0,3.1617035329738226e-30
2021-02-28,22,0.0,2.636806831676456e-30
2021-03-01,23,0.0,2.199048871231181e-30
2021-03-02,36,0.0,1.8339641656619998e-30
2021-03-03,27,0.0,1.5294884859994485e-30
2021-03-04,28,0.0,1.2755602691166353e-30
2021-03-05,22,0.0,1.0637881871921916e-30
2021-03-06,39,0.0,8.871738964945458e-31
2021-03-07,22,0.0,7.398808067772475e-31
2021-03-08,23,0.0,6.170412326825151e-31
2021-03-09,32,0.0,5.145955563701225e-31
2021-03-10,30,0.0,4.291580879908024e-31
2021-03-11,29,0.0,3.579051925285005e-31
2021-03-12,14,0.0,2.9848198707024635e-31
2021-03-13,31,0.0,2.4892452601810856e-31
2021-03-14,25,0.0,2.0759490339578205e-31
2021-03-15,25,0.0,1.7312712812100277e-31
2021-03-16,33,0.0,1.443819840082293e-31
2021-03-17,27,0.0,1.2040938308872923e-31
2021-03-18,25,0.0,1.0041696839140025e-31
2021-03-19,18,0.0,8.374392879417903e-32
2021-03-20,21,0.0,6.983916075265093e-32
2021-03-21,31,0.0,5.824305532734489e-32
2021-03-22,41,0.0,4.857230870814258e-32
2021-03-23,24,0.0,4.0507254329843463e-32
2021-03-24,29,0.0,3.378129798706687e-32
2021-03-25,38,0.0,2.8172106841592673e-32
2021-03-26,31,0.0,2.3494261166316482e-32
2021-03-27,39,0.0,1.959312600168364e-32
2021-03-28,32,0.0,1.6339740209416067e-32
2021-03-29,45,0.0,1.3626554026255275e-32
