,date,percentage
1010,2021-10-16,0.2912621359223301
1012,2021-10-17,0.3902439024390244
1014,2021-10-18,0.42424242424242425
1016,2021-10-19,0.4186046511627907
1018,2021-10-20,0.40145985401459855
1020,2021-10-21,0.44594594594594594
1022,2021-10-22,0.3902439024390244
1024,2021-10-23,0.4175824175824176
1026,2021-10-24,0.3937007874015748
1028,2021-10-25,0.3972602739726027
1030,2021-10-26,0.35384615384615387
1032,2021-10-27,0.45714285714285713
1034,2021-10-28,0.4752475247524752
1036,2021-10-29,0.5
1038,2021-10-30,0.38016528925619836
1040,2021-10-31,0.34234234234234234
1042,2021-11-01,0.3877551020408163
1044,2021-11-02,0.4594594594594595
1046,2021-11-03,0.410958904109589
1048,2021-11-04,0.6304347826086957
1050,2021-11-05,0.4
1052,2021-11-06,0.28
1054,2021-11-07,0.4606741573033708
1056,2021-11-08,0.4591439688715953
1058,2021-11-09,0.6161616161616161
1060,2021-11-10,0.49222797927461137
1062,2021-11-11,0.4666666666666667
1064,2021-11-12,0.5508474576271186
1066,2021-11-13,0.5555555555555556
1068,2021-11-14,0.5277777777777778
1070,2021-11-15,0.609271523178808
1072,2021-11-16,0.528169014084507
1074,2021-11-17,0.5652173913043478
1076,2021-11-18,0.536
1078,2021-11-19,0.5930232558139535
1080,2021-11-20,0.5909090909090909
1082,2021-11-21,0.48214285714285715
1084,2021-11-22,0.5118110236220472
1086,2021-11-23,0.5043478260869565
1088,2021-11-24,0.48717948717948717
1090,2021-11-25,0.5232558139534884
1092,2021-11-26,0.5384615384615384
1094,2021-11-27,0.5223880597014925
1096,2021-11-28,0.5918367346938775
1098,2021-11-29,0.5882352941176471
1100,2021-11-30,0.6277372262773723
1102,2021-12-01,0.5918367346938775
