"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-W22;12-15;Forventet fuld effekt;0;78;0,00
2021-W22;12-15;Ikke vaccineret;407;283454;143,59
2021-W22;12-15;Påbegyndt vaccinationsforløb;0;78;0,00
2021-W22;16-19;Forventet fuld effekt;0;3658;0,00
2021-W22;16-19;Ikke vaccineret;804;261996;306,87
2021-W22;16-19;Påbegyndt vaccinationsforløb;28;12511;223,80
2021-W22;20-39;Forventet fuld effekt;18;88746;20,28
2021-W22;20-39;Ikke vaccineret;2285;1350369;169,21
2021-W22;20-39;Påbegyndt vaccinationsforløb;35;46184;75,78
2021-W22;40-64;Forventet fuld effekt;40;216327;18,49
2021-W22;40-64;Ikke vaccineret;933;929743;100,35
2021-W22;40-64;Påbegyndt vaccinationsforløb;440;759755;57,91
2021-W22;65-79;Forventet fuld effekt;25;566731;4,41
2021-W22;65-79;Ikke vaccineret;14;45320;30,89
2021-W22;65-79;Påbegyndt vaccinationsforløb;39;283133;13,77
2021-W22;80+;Forventet fuld effekt;18;252532;7,13
2021-W22;80+;Ikke vaccineret;1;12078;8,28
2021-W22;80+;Påbegyndt vaccinationsforløb;0;7155;0,00
2021-W23;12-15;Forventet fuld effekt;0;80;0,00
2021-W23;12-15;Ikke vaccineret;181;283440;63,86
2021-W23;12-15;Påbegyndt vaccinationsforløb;0;90;0,00
