"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W08;65-79;Påbegyndt vaccinationsforløb;3;24230;12,38
2021-W08;80+;Forventet fuld effekt;1;36228;2,76
2021-W08;80+;Ikke vaccineret;16;152069;10,52
2021-W08;80+;Påbegyndt vaccinationsforløb;12;83467;14,38
2021-W09;12-15;Forventet fuld effekt;0;3;0,00
2021-W09;12-15;Ikke vaccineret;1;283571;0,35
2021-W09;12-15;Påbegyndt vaccinationsforløb;0;36;0,00
2021-W09;16-19;Forventet fuld effekt;0;709;0,00
2021-W09;16-19;Ikke vaccineret;3;275612;1,09
2021-W09;16-19;Påbegyndt vaccinationsforløb;1;1844;54,24
2021-W09;20-39;Forventet fuld effekt;0;29580;0,00
2021-W09;20-39;Ikke vaccineret;35;1407344;2,49
2021-W09;20-39;Påbegyndt vaccinationsforløb;0;48375;0,00
2021-W09;40-64;Forventet fuld effekt;1;70193;1,42
2021-W09;40-64;Ikke vaccineret;73;1732355;4,21
2021-W09;40-64;Påbegyndt vaccinationsforløb;3;103277;2,90
2021-W09;65-79;Forventet fuld effekt;0;29038;0,00
2021-W09;65-79;Ikke vaccineret;42;815302;5,15
2021-W09;65-79;Påbegyndt vaccinationsforløb;5;50844;9,83
2021-W09;80+;Forventet fuld effekt;1;38137;2,62
2021-W09;80+;Ikke vaccineret;16;137303;11,65
2021-W09;80+;Påbegyndt vaccinationsforløb;6;96325;6,23
2021-W10;12-15;Forventet fuld effekt;0;3;0,00
2021-W10;12-15;Ikke vaccineret;1;283550;0,35
2021-W10;12-15;Påbegyndt vaccinationsforløb;0;57;0,00
2021-W10;16-19;Forventet fuld effekt;0;764;0,00
2021-W10;16-19;Ikke vaccineret;2;274913;0,73
2021-W10;16-19;Påbegyndt vaccinationsforløb;0;2488;0,00
2021-W10;20-39;Forventet fuld effekt;0;30785;0,00
2021-W10;20-39;Ikke vaccineret;30;1388795;2,16
2021-W10;20-39;Påbegyndt vaccinationsforløb;0;65719;0,00
2021-W10;40-64;Forventet fuld effekt;0;72793;0,00
2021-W10;40-64;Ikke vaccineret;71;1697181;4,18
2021-W10;40-64;Påbegyndt vaccinationsforløb;4;135851;2,94
2021-W10;65-79;Forventet fuld effekt;0;30873;0,00
2021-W10;65-79;Ikke vaccineret;41;794557;5,16
2021-W10;65-79;Påbegyndt vaccinationsforløb;7;69755;10,04
2021-W10;80+;Forventet fuld effekt;1;39617;2,52
2021-W10;80+;Ikke vaccineret;11;127214;8,65
2021-W10;80+;Påbegyndt vaccinationsforløb;6;104934;5,72
2021-W11;12-15;Forventet fuld effekt;0;6;0,00
2021-W11;12-15;Ikke vaccineret;1;283537;0,35
2021-W11;12-15;Påbegyndt vaccinationsforløb;0;67;0,00
2021-W11;16-19;Forventet fuld effekt;0;832;0,00
2021-W11;16-19;Ikke vaccineret;4;274654;1,46
2021-W11;16-19;Påbegyndt vaccinationsforløb;0;2679;0,00
2021-W11;20-39;Forventet fuld effekt;0;32070;0,00
2021-W11;20-39;Ikke vaccineret;17;1383399;1,23
2021-W11;20-39;Påbegyndt vaccinationsforløb;0;69829;0,00
2021-W11;40-64;Forventet fuld effekt;0;75613;0,00
2021-W11;40-64;Ikke vaccineret;79;1685338;4,69
2021-W11;40-64;Påbegyndt vaccinationsforløb;8;144874;5,52
2021-W11;65-79;Forventet fuld effekt;1;32791;3,05
2021-W11;65-79;Ikke vaccineret;35;783911;4,46
2021-W11;65-79;Påbegyndt vaccinationsforløb;5;78482;6,37
2021-W11;80+;Forventet fuld effekt;0;45403;0,00
2021-W11;80+;Ikke vaccineret;16;113568;14,09
2021-W11;80+;Påbegyndt vaccinationsforløb;3;112795;2,66
2021-W12;16-19;Forventet fuld effekt;0;891;0,00
2021-W12;16-19;Ikke vaccineret;3;274391;1,09
2021-W12;16-19;Påbegyndt vaccinationsforløb;0;2883;0,00
2021-W12;20-39;Forventet fuld effekt;0;33484;0,00
2021-W12;20-39;Ikke vaccineret;47;1379369;3,41
2021-W12;20-39;Påbegyndt vaccinationsforløb;0;72445;0,00
2021-W12;40-64;Forventet fuld effekt;1;79061;1,26
2021-W12;40-64;Ikke vaccineret;105;1675852;6,27
2021-W12;40-64;Påbegyndt vaccinationsforløb;1;150912;0,66
2021-W12;65-79;Forventet fuld effekt;0;36396;0,00
2021-W12;65-79;Ikke vaccineret;48;773404;6,21
2021-W12;65-79;Påbegyndt vaccinationsforløb;7;85384;8,20
2021-W12;80+;Forventet fuld effekt;2;77332;2,59
2021-W12;80+;Ikke vaccineret;6;89628;6,69
2021-W12;80+;Påbegyndt vaccinationsforløb;2;104805;1,91
2021-W13;12-15;Forventet fuld effekt;0;9;0,00
2021-W13;12-15;Ikke vaccineret;1;283531;0,35
2021-W13;12-15;Påbegyndt vaccinationsforløb;0;70;0,00
2021-W13;16-19;Forventet fuld effekt;0;1037;0,00
2021-W13;16-19;Ikke vaccineret;1;274183;0,36
2021-W13;16-19;Påbegyndt vaccinationsforløb;0;2945;0,00
2021-W13;20-39;Forventet fuld effekt;0;36056;0,00
2021-W13;20-39;Ikke vaccineret;45;1376128;3,27
2021-W13;20-39;Påbegyndt vaccinationsforløb;0;73114;0,00
2021-W13;40-64;Forventet fuld effekt;0;87013;0,00
2021-W13;40-64;Ikke vaccineret;106;1665693;6,36
2021-W13;40-64;Påbegyndt vaccinationsforløb;3;153119;1,96
2021-W13;65-79;Forventet fuld effekt;2;48718;4,11
2021-W13;65-79;Ikke vaccineret;51;743384;6,86
2021-W13;65-79;Påbegyndt vaccinationsforløb;7;103083;6,79
2021-W13;80+;Forventet fuld effekt;1;114252;0,88
2021-W13;80+;Ikke vaccineret;12;55497;21,62
2021-W13;80+;Påbegyndt vaccinationsforløb;8;102016;7,84
2021-W14;16-19;Forventet fuld effekt;0;1299;0,00
2021-W14;16-19;Ikke vaccineret;5;273998;1,82
2021-W14;16-19;Påbegyndt vaccinationsforløb;0;2868;0,00
2021-W14;20-39;Forventet fuld effekt;1;39814;2,51
2021-W14;20-39;Ikke vaccineret;42;1373584;3,06
2021-W14;20-39;Påbegyndt vaccinationsforløb;1;71900;1,39
2021-W14;40-64;Forventet fuld effekt;1;100072;1,00
2021-W14;40-64;Ikke vaccineret;96;1658194;5,79
2021-W14;40-64;Påbegyndt vaccinationsforløb;1;147559;0,68
2021-W14;65-79;Forventet fuld effekt;1;71217;1,40
2021-W14;65-79;Ikke vaccineret;40;687155;5,82
2021-W14;65-79;Påbegyndt vaccinationsforløb;4;136811;2,92
2021-W14;80+;Forventet fuld effekt;2;128765;1,55
2021-W14;80+;Ikke vaccineret;8;35289;22,67
2021-W14;80+;Påbegyndt vaccinationsforløb;6;107711;5,57
2021-W15;16-19;Forventet fuld effekt;0;1551;0,00
2021-W15;16-19;Ikke vaccineret;3;273811;1,10
2021-W15;16-19;Påbegyndt vaccinationsforløb;0;2803;0,00
2021-W15;20-39;Forventet fuld effekt;0;43181;0,00
2021-W15;20-39;Ikke vaccineret;46;1370964;3,36
2021-W15;20-39;Påbegyndt vaccinationsforløb;1;71153;1,41
2021-W15;40-64;Forventet fuld effekt;1;111129;0,90
2021-W15;40-64;Ikke vaccineret;98;1651579;5,93
2021-W15;40-64;Påbegyndt vaccinationsforløb;1;143117;0,70
2021-W15;65-79;Forventet fuld effekt;1;91473;1,09
2021-W15;65-79;Ikke vaccineret;40;532629;7,51
2021-W15;65-79;Påbegyndt vaccinationsforløb;11;271082;4,06
2021-W15;80+;Forventet fuld effekt;4;137384;2,91
2021-W15;80+;Ikke vaccineret;4;22475;17,80
2021-W15;80+;Påbegyndt vaccinationsforløb;3;111906;2,68
2021-W16;16-19;Forventet fuld effekt;0;1763;0,00
2021-W16;16-19;Ikke vaccineret;4;273652;1,46
2021-W16;16-19;Påbegyndt vaccinationsforløb;0;2750;0,00
2021-W16;20-39;Forventet fuld effekt;0;46756;0,00
2021-W16;20-39;Ikke vaccineret;49;1368916;3,58
