"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
259;90+;8;2022-01-31
260;90+;2;2022-01-31
265;90+;12;2022-01-31
269;90+;2;2022-01-31
270;90+;10;2022-01-31
306;90+;3;2022-01-31
316;90+;1;2022-01-31
320;90+;2;2022-01-31
326;90+;4;2022-01-31
329;90+;7;2022-01-31
330;90+;13;2022-01-31
336;90+;6;2022-01-31
340;90+;4;2022-01-31
350;90+;2;2022-01-31
360;90+;5;2022-01-31
370;90+;1;2022-01-31
376;90+;7;2022-01-31
390;90+;3;2022-01-31
400;90+;5;2022-01-31
410;90+;4;2022-01-31
420;90+;7;2022-01-31
440;90+;4;2022-01-31
450;90+;5;2022-01-31
461;90+;12;2022-01-31
479;90+;3;2022-01-31
480;90+;4;2022-01-31
492;90+;1;2022-01-31
510;90+;7;2022-01-31
530;90+;12;2022-01-31
540;90+;3;2022-01-31
550;90+;2;2022-01-31
561;90+;5;2022-01-31
573;90+;3;2022-01-31
575;90+;1;2022-01-31
580;90+;9;2022-01-31
607;90+;4;2022-01-31
615;90+;5;2022-01-31
621;90+;5;2022-01-31
630;90+;8;2022-01-31
657;90+;3;2022-01-31
661;90+;2;2022-01-31
671;90+;4;2022-01-31
706;90+;10;2022-01-31
710;90+;6;2022-01-31
727;90+;1;2022-01-31
730;90+;11;2022-01-31
740;90+;6;2022-01-31
746;90+;3;2022-01-31
751;90+;26;2022-01-31
756;90+;8;2022-01-31
760;90+;1;2022-01-31
766;90+;4;2022-01-31
773;90+;4;2022-01-31
779;90+;1;2022-01-31
787;90+;4;2022-01-31
791;90+;7;2022-01-31
810;90+;1;2022-01-31
813;90+;4;2022-01-31
820;90+;5;2022-01-31
840;90+;1;2022-01-31
846;90+;3;2022-01-31
849;90+;1;2022-01-31
851;90+;13;2022-01-31
860;90+;7;2022-01-31
