"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
400;40-64;592;2022-01-31
410;40-64;603;2022-01-31
420;40-64;627;2022-01-31
430;40-64;739;2022-01-31
440;40-64;336;2022-01-31
450;40-64;492;2022-01-31
461;40-64;2869;2022-01-31
479;40-64;882;2022-01-31
480;40-64;541;2022-01-31
482;40-64;123;2022-01-31
492;40-64;57;2022-01-31
510;40-64;945;2022-01-31
530;40-64;400;2022-01-31
540;40-64;996;2022-01-31
550;40-64;409;2022-01-31
561;40-64;1731;2022-01-31
563;40-64;41;2022-01-31
573;40-64;804;2022-01-31
575;40-64;645;2022-01-31
580;40-64;729;2022-01-31
607;40-64;737;2022-01-31
615;40-64;1265;2022-01-31
621;40-64;1319;2022-01-31
630;40-64;1666;2022-01-31
657;40-64;1430;2022-01-31
661;40-64;894;2022-01-31
665;40-64;219;2022-01-31
671;40-64;251;2022-01-31
706;40-64;571;2022-01-31
707;40-64;401;2022-01-31
710;40-64;866;2022-01-31
727;40-64;292;2022-01-31
730;40-64;1385;2022-01-31
740;40-64;1465;2022-01-31
741;40-64;20;2022-01-31
746;40-64;1235;2022-01-31
751;40-64;4485;2022-01-31
756;40-64;532;2022-01-31
760;40-64;722;2022-01-31
766;40-64;610;2022-01-31
773;40-64;214;2022-01-31
779;40-64;505;2022-01-31
787;40-64;478;2022-01-31
791;40-64;1099;2022-01-31
810;40-64;488;2022-01-31
813;40-64;819;2022-01-31
820;40-64;456;2022-01-31
825;40-64;12;2022-01-31
840;40-64;447;2022-01-31
846;40-64;650;2022-01-31
849;40-64;553;2022-01-31
851;40-64;2682;2022-01-31
860;40-64;984;2022-01-31
;65-79;18;2022-01-31
011;65-79;3;2022-01-31
101;65-79;842;2022-01-31
147;65-79;194;2022-01-31
151;65-79;92;2022-01-31
153;65-79;117;2022-01-31
155;65-79;41;2022-01-31
157;65-79;184;2022-01-31
159;65-79;138;2022-01-31
161;65-79;53;2022-01-31
163;65-79;60;2022-01-31
165;65-79;47;2022-01-31
167;65-79;127;2022-01-31
169;65-79;137;2022-01-31
173;65-79;142;2022-01-31
175;65-79;63;2022-01-31
183;65-79;52;2022-01-31
185;65-79;65;2022-01-31
187;65-79;62;2022-01-31
190;65-79;77;2022-01-31
201;65-79;66;2022-01-31
210;65-79;127;2022-01-31
217;65-79;192;2022-01-31
219;65-79;132;2022-01-31
223;65-79;72;2022-01-31
230;65-79;152;2022-01-31
240;65-79;88;2022-01-31
250;65-79;129;2022-01-31
253;65-79;157;2022-01-31
259;65-79;113;2022-01-31
260;65-79;93;2022-01-31
265;65-79;179;2022-01-31
269;65-79;61;2022-01-31
270;65-79;122;2022-01-31
306;65-79;66;2022-01-31
316;65-79;141;2022-01-31
320;65-79;88;2022-01-31
326;65-79;101;2022-01-31
329;65-79;59;2022-01-31
330;65-79;181;2022-01-31
336;65-79;63;2022-01-31
340;65-79;58;2022-01-31
350;65-79;70;2022-01-31
360;65-79;128;2022-01-31
370;65-79;203;2022-01-31
376;65-79;216;2022-01-31
390;65-79;121;2022-01-31
400;65-79;118;2022-01-31
410;65-79;94;2022-01-31
420;65-79;94;2022-01-31
430;65-79;116;2022-01-31
440;65-79;58;2022-01-31
450;65-79;77;2022-01-31
461;65-79;410;2022-01-31
479;65-79;131;2022-01-31
480;65-79;78;2022-01-31
482;65-79;24;2022-01-31
492;65-79;12;2022-01-31
510;65-79;134;2022-01-31
530;65-79;82;2022-01-31
540;65-79;150;2022-01-31
550;65-79;70;2022-01-31
561;65-79;257;2022-01-31
563;65-79;3;2022-01-31
573;65-79;126;2022-01-31
575;65-79;80;2022-01-31
580;65-79;100;2022-01-31
607;65-79;105;2022-01-31
615;65-79;191;2022-01-31
621;65-79;133;2022-01-31
630;65-79;192;2022-01-31
657;65-79;183;2022-01-31
661;65-79;129;2022-01-31
665;65-79;63;2022-01-31
671;65-79;47;2022-01-31
706;65-79;77;2022-01-31
707;65-79;61;2022-01-31
710;65-79;77;2022-01-31
727;65-79;43;2022-01-31
730;65-79;136;2022-01-31
740;65-79;176;2022-01-31
741;65-79;3;2022-01-31
746;65-79;121;2022-01-31
751;65-79;600;2022-01-31
756;65-79;68;2022-01-31
760;65-79;120;2022-01-31
766;65-79;93;2022-01-31
773;65-79;47;2022-01-31
779;65-79;90;2022-01-31
787;65-79;72;2022-01-31
791;65-79;150;2022-01-31
810;65-79;75;2022-01-31
813;65-79;91;2022-01-31
820;65-79;70;2022-01-31
840;65-79;60;2022-01-31
846;65-79;95;2022-01-31
849;65-79;83;2022-01-31
851;65-79;359;2022-01-31
860;65-79;165;2022-01-31
;80+;3;2022-01-31
101;80+;157;2022-01-31
147;80+;56;2022-01-31
151;80+;21;2022-01-31
153;80+;13;2022-01-31
155;80+;18;2022-01-31
157;80+;49;2022-01-31
159;80+;44;2022-01-31
161;80+;18;2022-01-31
163;80+;8;2022-01-31
165;80+;7;2022-01-31
167;80+;35;2022-01-31
169;80+;33;2022-01-31
173;80+;28;2022-01-31
175;80+;19;2022-01-31
183;80+;16;2022-01-31
185;80+;30;2022-01-31
187;80+;12;2022-01-31
190;80+;17;2022-01-31
201;80+;17;2022-01-31
210;80+;19;2022-01-31
217;80+;45;2022-01-31
219;80+;28;2022-01-31
223;80+;32;2022-01-31
230;80+;44;2022-01-31
240;80+;14;2022-01-31
250;80+;39;2022-01-31
253;80+;23;2022-01-31
259;80+;24;2022-01-31
260;80+;12;2022-01-31
265;80+;43;2022-01-31
269;80+;11;2022-01-31
270;80+;27;2022-01-31
306;80+;8;2022-01-31
316;80+;10;2022-01-31
320;80+;4;2022-01-31
326;80+;21;2022-01-31
329;80+;16;2022-01-31
330;80+;58;2022-01-31
336;80+;21;2022-01-31
340;80+;13;2022-01-31
350;80+;15;2022-01-31
360;80+;30;2022-01-31
370;80+;27;2022-01-31
376;80+;47;2022-01-31
390;80+;28;2022-01-31
400;80+;23;2022-01-31
410;80+;27;2022-01-31
420;80+;20;2022-01-31
430;80+;7;2022-01-31
440;80+;12;2022-01-31
450;80+;18;2022-01-31
461;80+;72;2022-01-31
479;80+;15;2022-01-31
480;80+;21;2022-01-31
482;80+;4;2022-01-31
492;80+;1;2022-01-31
510;80+;41;2022-01-31
530;80+;27;2022-01-31
540;80+;19;2022-01-31
550;80+;12;2022-01-31
561;80+;45;2022-01-31
573;80+;21;2022-01-31
575;80+;23;2022-01-31
580;80+;31;2022-01-31
607;80+;24;2022-01-31
615;80+;23;2022-01-31
621;80+;21;2022-01-31
630;80+;38;2022-01-31
657;80+;33;2022-01-31
661;80+;22;2022-01-31
665;80+;7;2022-01-31
671;80+;11;2022-01-31
706;80+;22;2022-01-31
707;80+;9;2022-01-31
710;80+;26;2022-01-31
727;80+;4;2022-01-31
730;80+;32;2022-01-31
740;80+;26;2022-01-31
746;80+;18;2022-01-31
751;80+;122;2022-01-31
756;80+;20;2022-01-31
760;80+;13;2022-01-31
766;80+;16;2022-01-31
773;80+;15;2022-01-31
779;80+;10;2022-01-31
787;80+;25;2022-01-31
791;80+;31;2022-01-31
810;80+;10;2022-01-31
813;80+;16;2022-01-31
820;80+;16;2022-01-31
840;80+;6;2022-01-31
846;80+;15;2022-01-31
849;80+;8;2022-01-31
851;80+;61;2022-01-31
860;80+;58;2022-01-31
