"Kommune";"Kommunenavn";"Dato";"Bekræftede tilfælde"
190;Furesø;2020-11-29;13
201;Allerød;2020-11-29;12
210;Fredensborg;2020-11-29;10
217;Helsingør;2020-11-29;29
219;Hillerød;2020-11-29;22
223;Hørsholm;2020-11-29;7
230;Rudersdal;2020-11-29;17
240;Egedal;2020-11-29;7
250;Frederikssund;2020-11-29;5
253;Greve;2020-11-29;7
259;Køge;2020-11-29;15
260;Halsnæs;2020-11-29;4
265;Roskilde;2020-11-29;20
269;Solrød;2020-11-29;8
270;Gribskov;2020-11-29;5
306;Odsherred;2020-11-29;4
316;Holbæk;2020-11-29;5
320;Faxe;2020-11-29;6
326;Kalundborg;2020-11-29;1
329;Ringsted;2020-11-29;3
330;Slagelse;2020-11-29;21
336;Stevns;2020-11-29;4
340;Sorø;2020-11-29;1
350;Lejre;2020-11-29;7
360;Lolland;2020-11-29;1
370;Næstved;2020-11-29;12
376;Guldborgsund;2020-11-29;10
390;Vordingborg;2020-11-29;18
400;Bornholm;2020-11-29;4
410;Middelfart;2020-11-29;3
430;Faaborg-Midtfyn;2020-11-29;2
440;Kerteminde;2020-11-29;3
450;Nyborg;2020-11-29;2
461;Odense;2020-11-29;49
479;Svendborg;2020-11-29;4
480;Nordfyn;2020-11-29;4
510;Haderslev;2020-11-29;1
530;Billund;2020-11-29;3
540;Sønderborg;2020-11-29;5
550;Tønder;2020-11-29;1
561;Esbjerg;2020-11-29;10
573;Varde;2020-11-29;3
575;Vejen;2020-11-29;3
607;Fredericia;2020-11-29;7
615;Horsens;2020-11-29;14
621;Kolding;2020-11-29;15
630;Vejle;2020-11-29;19
657;Herning;2020-11-29;9
661;Holstebro;2020-11-29;19
665;Lemvig;2020-11-29;2
671;Struer;2020-11-29;4
706;Syddjurs;2020-11-29;2
707;Norddjurs;2020-11-29;4
710;Favrskov;2020-11-29;9
727;Odder;2020-11-29;1
730;Randers;2020-11-29;3
740;Silkeborg;2020-11-29;11
746;Skanderborg;2020-11-29;5
751;Århus;2020-11-29;69
756;Ikast-Brande;2020-11-29;3
760;Ringkøbing-Skjern;2020-11-29;4
766;Hedensted;2020-11-29;8
779;Skive;2020-11-29;1
787;Thisted;2020-11-29;2
791;Viborg;2020-11-29;17
810;Brønderslev;2020-11-29;2
820;Vesthimmerland;2020-11-29;2
840;Rebild;2020-11-29;2
846;Mariagerfjord;2020-11-29;6
849;Jammerbugt;2020-11-29;1
851;Aalborg;2020-11-29;20
860;Hjørring;2020-11-29;2
101;København;2020-11-30;288
147;Frederiksberg;2020-11-30;35
151;Ballerup;2020-11-30;22
153;Brøndby;2020-11-30;20
155;Dragør;2020-11-30;7
157;Gentofte;2020-11-30;27
159;Gladsaxe;2020-11-30;27
161;Glostrup;2020-11-30;2
163;Herlev;2020-11-30;20
165;Albertslund;2020-11-30;9
167;Hvidovre;2020-11-30;20
169;Høje Tåstrup;2020-11-30;31
173;Lyngby-Taarbæk;2020-11-30;31
175;Rødovre;2020-11-30;26
183;Ishøj;2020-11-30;15
185;Tårnby;2020-11-30;8
187;Vallensbæk;2020-11-30;4
190;Furesø;2020-11-30;18
201;Allerød;2020-11-30;6
210;Fredensborg;2020-11-30;18
217;Helsingør;2020-11-30;36
219;Hillerød;2020-11-30;15
223;Hørsholm;2020-11-30;5
230;Rudersdal;2020-11-30;23
240;Egedal;2020-11-30;15
250;Frederikssund;2020-11-30;11
253;Greve;2020-11-30;9
259;Køge;2020-11-30;8
260;Halsnæs;2020-11-30;7
265;Roskilde;2020-11-30;33
269;Solrød;2020-11-30;13
270;Gribskov;2020-11-30;13
306;Odsherred;2020-11-30;6
316;Holbæk;2020-11-30;9
320;Faxe;2020-11-30;10
326;Kalundborg;2020-11-30;12
329;Ringsted;2020-11-30;10
330;Slagelse;2020-11-30;24
336;Stevns;2020-11-30;6
340;Sorø;2020-11-30;3
350;Lejre;2020-11-30;13
360;Lolland;2020-11-30;1
370;Næstved;2020-11-30;15
376;Guldborgsund;2020-11-30;12
390;Vordingborg;2020-11-30;22
400;Bornholm;2020-11-30;2
410;Middelfart;2020-11-30;13
420;Assens;2020-11-30;2
430;Faaborg-Midtfyn;2020-11-30;5
440;Kerteminde;2020-11-30;3
450;Nyborg;2020-11-30;7
461;Odense;2020-11-30;74
479;Svendborg;2020-11-30;6
480;Nordfyn;2020-11-30;8
510;Haderslev;2020-11-30;4
530;Billund;2020-11-30;5
540;Sønderborg;2020-11-30;7
550;Tønder;2020-11-30;2
561;Esbjerg;2020-11-30;9
573;Varde;2020-11-30;5
575;Vejen;2020-11-30;3
580;Aabenraa;2020-11-30;1
607;Fredericia;2020-11-30;12
615;Horsens;2020-11-30;26
621;Kolding;2020-11-30;13
630;Vejle;2020-11-30;20
657;Herning;2020-11-30;16
661;Holstebro;2020-11-30;17
665;Lemvig;2020-11-30;1
671;Struer;2020-11-30;6
706;Syddjurs;2020-11-30;7
707;Norddjurs;2020-11-30;7
710;Favrskov;2020-11-30;17
727;Odder;2020-11-30;1
730;Randers;2020-11-30;11
740;Silkeborg;2020-11-30;14
746;Skanderborg;2020-11-30;19
751;Århus;2020-11-30;148
756;Ikast-Brande;2020-11-30;1
760;Ringkøbing-Skjern;2020-11-30;8
766;Hedensted;2020-11-30;18
773;Morsø;2020-11-30;1
779;Skive;2020-11-30;1
787;Thisted;2020-11-30;2
791;Viborg;2020-11-30;8
810;Brønderslev;2020-11-30;1
813;Frederikshavn;2020-11-30;1
820;Vesthimmerland;2020-11-30;2
840;Rebild;2020-11-30;1
846;Mariagerfjord;2020-11-30;6
849;Jammerbugt;2020-11-30;1
851;Aalborg;2020-11-30;23
860;Hjørring;2020-11-30;1
101;København;2020-12-01;402
147;Frederiksberg;2020-12-01;65
151;Ballerup;2020-12-01;21
153;Brøndby;2020-12-01;26
155;Dragør;2020-12-01;7
157;Gentofte;2020-12-01;29
159;Gladsaxe;2020-12-01;26
161;Glostrup;2020-12-01;15
163;Herlev;2020-12-01;29
165;Albertslund;2020-12-01;12
167;Hvidovre;2020-12-01;31
169;Høje Tåstrup;2020-12-01;24
173;Lyngby-Taarbæk;2020-12-01;22
175;Rødovre;2020-12-01;37
183;Ishøj;2020-12-01;14
185;Tårnby;2020-12-01;20
187;Vallensbæk;2020-12-01;6
190;Furesø;2020-12-01;26
201;Allerød;2020-12-01;12
210;Fredensborg;2020-12-01;20
217;Helsingør;2020-12-01;28
219;Hillerød;2020-12-01;18
223;Hørsholm;2020-12-01;7
230;Rudersdal;2020-12-01;24
240;Egedal;2020-12-01;14
250;Frederikssund;2020-12-01;11
253;Greve;2020-12-01;11
259;Køge;2020-12-01;21
260;Halsnæs;2020-12-01;4
265;Roskilde;2020-12-01;25
269;Solrød;2020-12-01;9
270;Gribskov;2020-12-01;4
306;Odsherred;2020-12-01;6
316;Holbæk;2020-12-01;6
320;Faxe;2020-12-01;13
326;Kalundborg;2020-12-01;5
329;Ringsted;2020-12-01;4
330;Slagelse;2020-12-01;38
336;Stevns;2020-12-01;7
340;Sorø;2020-12-01;3
350;Lejre;2020-12-01;5
360;Lolland;2020-12-01;3
370;Næstved;2020-12-01;19
376;Guldborgsund;2020-12-01;10
390;Vordingborg;2020-12-01;22
400;Bornholm;2020-12-01;4
410;Middelfart;2020-12-01;8
420;Assens;2020-12-01;4
430;Faaborg-Midtfyn;2020-12-01;2
440;Kerteminde;2020-12-01;3
450;Nyborg;2020-12-01;5
461;Odense;2020-12-01;74
479;Svendborg;2020-12-01;4
480;Nordfyn;2020-12-01;7
510;Haderslev;2020-12-01;1
530;Billund;2020-12-01;1
540;Sønderborg;2020-12-01;17
550;Tønder;2020-12-01;2
561;Esbjerg;2020-12-01;13
573;Varde;2020-12-01;7
575;Vejen;2020-12-01;6
580;Aabenraa;2020-12-01;4
607;Fredericia;2020-12-01;11
615;Horsens;2020-12-01;29
621;Kolding;2020-12-01;14
630;Vejle;2020-12-01;25
657;Herning;2020-12-01;24
661;Holstebro;2020-12-01;26
665;Lemvig;2020-12-01;1
671;Struer;2020-12-01;2
706;Syddjurs;2020-12-01;5
707;Norddjurs;2020-12-01;1
710;Favrskov;2020-12-01;4
727;Odder;2020-12-01;5
730;Randers;2020-12-01;15
740;Silkeborg;2020-12-01;13
746;Skanderborg;2020-12-01;13
751;Århus;2020-12-01;121
756;Ikast-Brande;2020-12-01;2
760;Ringkøbing-Skjern;2020-12-01;3
766;Hedensted;2020-12-01;14
773;Morsø;2020-12-01;1
779;Skive;2020-12-01;5
787;Thisted;2020-12-01;3
791;Viborg;2020-12-01;9
813;Frederikshavn;2020-12-01;1
820;Vesthimmerland;2020-12-01;3
846;Mariagerfjord;2020-12-01;4
851;Aalborg;2020-12-01;34
860;Hjørring;2020-12-01;1
101;København;2020-12-02;420
147;Frederiksberg;2020-12-02;59
151;Ballerup;2020-12-02;28
153;Brøndby;2020-12-02;33
155;Dragør;2020-12-02;3
157;Gentofte;2020-12-02;37
159;Gladsaxe;2020-12-02;23
161;Glostrup;2020-12-02;9
163;Herlev;2020-12-02;23
165;Albertslund;2020-12-02;10
167;Hvidovre;2020-12-02;51
169;Høje Tåstrup;2020-12-02;28
173;Lyngby-Taarbæk;2020-12-02;33
175;Rødovre;2020-12-02;31
183;Ishøj;2020-12-02;19
185;Tårnby;2020-12-02;18
187;Vallensbæk;2020-12-02;6
190;Furesø;2020-12-02;22
201;Allerød;2020-12-02;4
210;Fredensborg;2020-12-02;15
217;Helsingør;2020-12-02;39
219;Hillerød;2020-12-02;18
223;Hørsholm;2020-12-02;11
230;Rudersdal;2020-12-02;29
240;Egedal;2020-12-02;9
250;Frederikssund;2020-12-02;21
253;Greve;2020-12-02;23
259;Køge;2020-12-02;15
260;Halsnæs;2020-12-02;7
265;Roskilde;2020-12-02;29
269;Solrød;2020-12-02;15
270;Gribskov;2020-12-02;11
306;Odsherred;2020-12-02;6
316;Holbæk;2020-12-02;13
320;Faxe;2020-12-02;19
326;Kalundborg;2020-12-02;11
329;Ringsted;2020-12-02;12
330;Slagelse;2020-12-02;34
336;Stevns;2020-12-02;6
340;Sorø;2020-12-02;7
350;Lejre;2020-12-02;9
360;Lolland;2020-12-02;2
370;Næstved;2020-12-02;17
376;Guldborgsund;2020-12-02;15
390;Vordingborg;2020-12-02;35
400;Bornholm;2020-12-02;9
410;Middelfart;2020-12-02;7
430;Faaborg-Midtfyn;2020-12-02;8
440;Kerteminde;2020-12-02;2
450;Nyborg;2020-12-02;1
461;Odense;2020-12-02;83
479;Svendborg;2020-12-02;8
480;Nordfyn;2020-12-02;2
482;Langeland;2020-12-02;1
510;Haderslev;2020-12-02;3
530;Billund;2020-12-02;6
540;Sønderborg;2020-12-02;6
550;Tønder;2020-12-02;7
561;Esbjerg;2020-12-02;15
573;Varde;2020-12-02;3
575;Vejen;2020-12-02;7
607;Fredericia;2020-12-02;9
615;Horsens;2020-12-02;24
621;Kolding;2020-12-02;12
630;Vejle;2020-12-02;16
657;Herning;2020-12-02;10
661;Holstebro;2020-12-02;20
665;Lemvig;2020-12-02;3
671;Struer;2020-12-02;4
706;Syddjurs;2020-12-02;6
707;Norddjurs;2020-12-02;2
710;Favrskov;2020-12-02;8
727;Odder;2020-12-02;4
730;Randers;2020-12-02;18
740;Silkeborg;2020-12-02;12
746;Skanderborg;2020-12-02;14
751;Århus;2020-12-02;147
756;Ikast-Brande;2020-12-02;12
760;Ringkøbing-Skjern;2020-12-02;9
766;Hedensted;2020-12-02;13
773;Morsø;2020-12-02;1
779;Skive;2020-12-02;3
787;Thisted;2020-12-02;1
791;Viborg;2020-12-02;17
810;Brønderslev;2020-12-02;1
820;Vesthimmerland;2020-12-02;2
840;Rebild;2020-12-02;1
846;Mariagerfjord;2020-12-02;5
849;Jammerbugt;2020-12-02;3
851;Aalborg;2020-12-02;45
860;Hjørring;2020-12-02;1
101;København;2020-12-03;413
147;Frederiksberg;2020-12-03;61
151;Ballerup;2020-12-03;36
153;Brøndby;2020-12-03;25
155;Dragør;2020-12-03;9
157;Gentofte;2020-12-03;27
159;Gladsaxe;2020-12-03;46
161;Glostrup;2020-12-03;15
163;Herlev;2020-12-03;25
165;Albertslund;2020-12-03;13
167;Hvidovre;2020-12-03;34
169;Høje Tåstrup;2020-12-03;31
173;Lyngby-Taarbæk;2020-12-03;31
175;Rødovre;2020-12-03;25
183;Ishøj;2020-12-03;15
185;Tårnby;2020-12-03;30
187;Vallensbæk;2020-12-03;15
190;Furesø;2020-12-03;12
201;Allerød;2020-12-03;6
210;Fredensborg;2020-12-03;18
217;Helsingør;2020-12-03;26
219;Hillerød;2020-12-03;16
223;Hørsholm;2020-12-03;12
230;Rudersdal;2020-12-03;24
240;Egedal;2020-12-03;21
250;Frederikssund;2020-12-03;11
253;Greve;2020-12-03;22
259;Køge;2020-12-03;17
260;Halsnæs;2020-12-03;11
265;Roskilde;2020-12-03;32
269;Solrød;2020-12-03;19
270;Gribskov;2020-12-03;13
306;Odsherred;2020-12-03;10
316;Holbæk;2020-12-03;10
320;Faxe;2020-12-03;11
326;Kalundborg;2020-12-03;15
329;Ringsted;2020-12-03;5
330;Slagelse;2020-12-03;48
336;Stevns;2020-12-03;7
340;Sorø;2020-12-03;6
350;Lejre;2020-12-03;8
360;Lolland;2020-12-03;1
370;Næstved;2020-12-03;11
376;Guldborgsund;2020-12-03;9
390;Vordingborg;2020-12-03;18
400;Bornholm;2020-12-03;3
410;Middelfart;2020-12-03;11
420;Assens;2020-12-03;8
430;Faaborg-Midtfyn;2020-12-03;6
440;Kerteminde;2020-12-03;4
450;Nyborg;2020-12-03;9
461;Odense;2020-12-03;94
479;Svendborg;2020-12-03;7
480;Nordfyn;2020-12-03;4
510;Haderslev;2020-12-03;7
540;Sønderborg;2020-12-03;5
550;Tønder;2020-12-03;3
561;Esbjerg;2020-12-03;21
563;Fanø;2020-12-03;2
573;Varde;2020-12-03;7
575;Vejen;2020-12-03;7
580;Aabenraa;2020-12-03;1
607;Fredericia;2020-12-03;9
615;Horsens;2020-12-03;23
621;Kolding;2020-12-03;16
630;Vejle;2020-12-03;27
657;Herning;2020-12-03;13
661;Holstebro;2020-12-03;27
665;Lemvig;2020-12-03;1
671;Struer;2020-12-03;8
706;Syddjurs;2020-12-03;7
707;Norddjurs;2020-12-03;6
710;Favrskov;2020-12-03;7
727;Odder;2020-12-03;1
730;Randers;2020-12-03;19
740;Silkeborg;2020-12-03;26
746;Skanderborg;2020-12-03;16
751;Århus;2020-12-03;139
756;Ikast-Brande;2020-12-03;11
760;Ringkøbing-Skjern;2020-12-03;3
766;Hedensted;2020-12-03;8
779;Skive;2020-12-03;3
787;Thisted;2020-12-03;2
791;Viborg;2020-12-03;14
813;Frederikshavn;2020-12-03;3
840;Rebild;2020-12-03;1
846;Mariagerfjord;2020-12-03;8
849;Jammerbugt;2020-12-03;1
851;Aalborg;2020-12-03;34
860;Hjørring;2020-12-03;4
101;København;2020-12-04;442
147;Frederiksberg;2020-12-04;65
151;Ballerup;2020-12-04;29
153;Brøndby;2020-12-04;24
155;Dragør;2020-12-04;6
157;Gentofte;2020-12-04;39
159;Gladsaxe;2020-12-04;40
161;Glostrup;2020-12-04;21
163;Herlev;2020-12-04;23
165;Albertslund;2020-12-04;12
167;Hvidovre;2020-12-04;32
169;Høje Tåstrup;2020-12-04;24
173;Lyngby-Taarbæk;2020-12-04;35
175;Rødovre;2020-12-04;23
183;Ishøj;2020-12-04;31
185;Tårnby;2020-12-04;20
187;Vallensbæk;2020-12-04;14
190;Furesø;2020-12-04;27
201;Allerød;2020-12-04;8
210;Fredensborg;2020-12-04;14
217;Helsingør;2020-12-04;20
219;Hillerød;2020-12-04;24
223;Hørsholm;2020-12-04;5
230;Rudersdal;2020-12-04;19
240;Egedal;2020-12-04;18
250;Frederikssund;2020-12-04;13
253;Greve;2020-12-04;22
259;Køge;2020-12-04;18
260;Halsnæs;2020-12-04;8
265;Roskilde;2020-12-04;25
269;Solrød;2020-12-04;20
270;Gribskov;2020-12-04;14
306;Odsherred;2020-12-04;8
316;Holbæk;2020-12-04;12
320;Faxe;2020-12-04;14
326;Kalundborg;2020-12-04;1
329;Ringsted;2020-12-04;9
330;Slagelse;2020-12-04;57
336;Stevns;2020-12-04;5
340;Sorø;2020-12-04;5
350;Lejre;2020-12-04;10
360;Lolland;2020-12-04;3
370;Næstved;2020-12-04;13
376;Guldborgsund;2020-12-04;16
390;Vordingborg;2020-12-04;26
400;Bornholm;2020-12-04;8
410;Middelfart;2020-12-04;7
420;Assens;2020-12-04;5
430;Faaborg-Midtfyn;2020-12-04;8
440;Kerteminde;2020-12-04;11
450;Nyborg;2020-12-04;3
461;Odense;2020-12-04;62
479;Svendborg;2020-12-04;6
480;Nordfyn;2020-12-04;2
482;Langeland;2020-12-04;1
510;Haderslev;2020-12-04;3
530;Billund;2020-12-04;2
540;Sønderborg;2020-12-04;10
550;Tønder;2020-12-04;6
561;Esbjerg;2020-12-04;21
573;Varde;2020-12-04;7
575;Vejen;2020-12-04;11
580;Aabenraa;2020-12-04;3
607;Fredericia;2020-12-04;20
615;Horsens;2020-12-04;25
621;Kolding;2020-12-04;13
630;Vejle;2020-12-04;27
657;Herning;2020-12-04;21
661;Holstebro;2020-12-04;20
665;Lemvig;2020-12-04;6
671;Struer;2020-12-04;9
706;Syddjurs;2020-12-04;5
707;Norddjurs;2020-12-04;4
710;Favrskov;2020-12-04;7
727;Odder;2020-12-04;3
730;Randers;2020-12-04;27
740;Silkeborg;2020-12-04;15
741;Samsø;2020-12-04;1
746;Skanderborg;2020-12-04;16
751;Århus;2020-12-04;194
756;Ikast-Brande;2020-12-04;10
760;Ringkøbing-Skjern;2020-12-04;5
766;Hedensted;2020-12-04;2
773;Morsø;2020-12-04;2
779;Skive;2020-12-04;7
791;Viborg;2020-12-04;25
810;Brønderslev;2020-12-04;4
820;Vesthimmerland;2020-12-04;3
840;Rebild;2020-12-04;2
846;Mariagerfjord;2020-12-04;5
849;Jammerbugt;2020-12-04;1
851;Aalborg;2020-12-04;47
860;Hjørring;2020-12-04;1
101;København;2020-12-05;440
147;Frederiksberg;2020-12-05;63
151;Ballerup;2020-12-05;25
153;Brøndby;2020-12-05;24
155;Dragør;2020-12-05;9
157;Gentofte;2020-12-05;30
159;Gladsaxe;2020-12-05;39
161;Glostrup;2020-12-05;12
163;Herlev;2020-12-05;20
165;Albertslund;2020-12-05;13
167;Hvidovre;2020-12-05;39
169;Høje Tåstrup;2020-12-05;35
173;Lyngby-Taarbæk;2020-12-05;24
175;Rødovre;2020-12-05;22
183;Ishøj;2020-12-05;15
185;Tårnby;2020-12-05;15
187;Vallensbæk;2020-12-05;4
190;Furesø;2020-12-05;22
201;Allerød;2020-12-05;3
210;Fredensborg;2020-12-05;11
217;Helsingør;2020-12-05;16
219;Hillerød;2020-12-05;17
223;Hørsholm;2020-12-05;7
230;Rudersdal;2020-12-05;30
240;Egedal;2020-12-05;10
250;Frederikssund;2020-12-05;7
253;Greve;2020-12-05;17
259;Køge;2020-12-05;20
260;Halsnæs;2020-12-05;9
265;Roskilde;2020-12-05;37
269;Solrød;2020-12-05;24
270;Gribskov;2020-12-05;10
306;Odsherred;2020-12-05;5
316;Holbæk;2020-12-05;24
320;Faxe;2020-12-05;11
326;Kalundborg;2020-12-05;9
329;Ringsted;2020-12-05;8
330;Slagelse;2020-12-05;25
336;Stevns;2020-12-05;3
340;Sorø;2020-12-05;6
350;Lejre;2020-12-05;7
360;Lolland;2020-12-05;1
370;Næstved;2020-12-05;21
376;Guldborgsund;2020-12-05;20
390;Vordingborg;2020-12-05;29
400;Bornholm;2020-12-05;3
410;Middelfart;2020-12-05;1
420;Assens;2020-12-05;3
440;Kerteminde;2020-12-05;1
450;Nyborg;2020-12-05;4
461;Odense;2020-12-05;55
479;Svendborg;2020-12-05;12
480;Nordfyn;2020-12-05;3
510;Haderslev;2020-12-05;1
530;Billund;2020-12-05;2
540;Sønderborg;2020-12-05;16
561;Esbjerg;2020-12-05;20
573;Varde;2020-12-05;5
575;Vejen;2020-12-05;2
580;Aabenraa;2020-12-05;4
607;Fredericia;2020-12-05;3
615;Horsens;2020-12-05;12
621;Kolding;2020-12-05;8
630;Vejle;2020-12-05;15
657;Herning;2020-12-05;10
661;Holstebro;2020-12-05;18
665;Lemvig;2020-12-05;2
671;Struer;2020-12-05;4
706;Syddjurs;2020-12-05;5
707;Norddjurs;2020-12-05;4
710;Favrskov;2020-12-05;8
727;Odder;2020-12-05;4
730;Randers;2020-12-05;26
740;Silkeborg;2020-12-05;12
746;Skanderborg;2020-12-05;13
751;Århus;2020-12-05;113
756;Ikast-Brande;2020-12-05;7
760;Ringkøbing-Skjern;2020-12-05;2
766;Hedensted;2020-12-05;7
779;Skive;2020-12-05;4
787;Thisted;2020-12-05;1
791;Viborg;2020-12-05;15
813;Frederikshavn;2020-12-05;4
820;Vesthimmerland;2020-12-05;2
840;Rebild;2020-12-05;1
846;Mariagerfjord;2020-12-05;1
849;Jammerbugt;2020-12-05;1
851;Aalborg;2020-12-05;43
101;København;2020-12-06;477
147;Frederiksberg;2020-12-06;69
151;Ballerup;2020-12-06;27
153;Brøndby;2020-12-06;28
155;Dragør;2020-12-06;4
157;Gentofte;2020-12-06;45
159;Gladsaxe;2020-12-06;28
161;Glostrup;2020-12-06;17
163;Herlev;2020-12-06;24
165;Albertslund;2020-12-06;18
167;Hvidovre;2020-12-06;40
169;Høje Tåstrup;2020-12-06;28
173;Lyngby-Taarbæk;2020-12-06;30
175;Rødovre;2020-12-06;36
183;Ishøj;2020-12-06;22
185;Tårnby;2020-12-06;34
187;Vallensbæk;2020-12-06;5
190;Furesø;2020-12-06;26
201;Allerød;2020-12-06;6
210;Fredensborg;2020-12-06;5
217;Helsingør;2020-12-06;29
219;Hillerød;2020-12-06;16
223;Hørsholm;2020-12-06;5
230;Rudersdal;2020-12-06;33
240;Egedal;2020-12-06;17
250;Frederikssund;2020-12-06;14
253;Greve;2020-12-06;13
259;Køge;2020-12-06;29
260;Halsnæs;2020-12-06;14
265;Roskilde;2020-12-06;24
269;Solrød;2020-12-06;17
270;Gribskov;2020-12-06;12
306;Odsherred;2020-12-06;6
316;Holbæk;2020-12-06;19
320;Faxe;2020-12-06;6
326;Kalundborg;2020-12-06;10
329;Ringsted;2020-12-06;16
330;Slagelse;2020-12-06;54
336;Stevns;2020-12-06;8
340;Sorø;2020-12-06;5
350;Lejre;2020-12-06;13
360;Lolland;2020-12-06;3
370;Næstved;2020-12-06;12
376;Guldborgsund;2020-12-06;18
390;Vordingborg;2020-12-06;21
400;Bornholm;2020-12-06;4
410;Middelfart;2020-12-06;4
420;Assens;2020-12-06;1
430;Faaborg-Midtfyn;2020-12-06;3
440;Kerteminde;2020-12-06;1
450;Nyborg;2020-12-06;2
461;Odense;2020-12-06;81
479;Svendborg;2020-12-06;13
480;Nordfyn;2020-12-06;6
482;Langeland;2020-12-06;6
510;Haderslev;2020-12-06;5
530;Billund;2020-12-06;1
540;Sønderborg;2020-12-06;4
550;Tønder;2020-12-06;4
561;Esbjerg;2020-12-06;15
573;Varde;2020-12-06;6
575;Vejen;2020-12-06;8
580;Aabenraa;2020-12-06;6
607;Fredericia;2020-12-06;5
615;Horsens;2020-12-06;15
621;Kolding;2020-12-06;13
630;Vejle;2020-12-06;30
657;Herning;2020-12-06;15
661;Holstebro;2020-12-06;18
671;Struer;2020-12-06;9
706;Syddjurs;2020-12-06;3
707;Norddjurs;2020-12-06;3
710;Favrskov;2020-12-06;9
727;Odder;2020-12-06;1
730;Randers;2020-12-06;30
740;Silkeborg;2020-12-06;9
746;Skanderborg;2020-12-06;23
751;Århus;2020-12-06;130
756;Ikast-Brande;2020-12-06;7
760;Ringkøbing-Skjern;2020-12-06;6
766;Hedensted;2020-12-06;8
779;Skive;2020-12-06;2
791;Viborg;2020-12-06;17
810;Brønderslev;2020-12-06;3
820;Vesthimmerland;2020-12-06;2
840;Rebild;2020-12-06;4
846;Mariagerfjord;2020-12-06;3
851;Aalborg;2020-12-06;56
860;Hjørring;2020-12-06;2
101;København;2020-12-07;698
147;Frederiksberg;2020-12-07;92
151;Ballerup;2020-12-07;46
153;Brøndby;2020-12-07;24
155;Dragør;2020-12-07;17
157;Gentofte;2020-12-07;71
159;Gladsaxe;2020-12-07;45
161;Glostrup;2020-12-07;27
163;Herlev;2020-12-07;43
165;Albertslund;2020-12-07;15
167;Hvidovre;2020-12-07;49
169;Høje Tåstrup;2020-12-07;35
173;Lyngby-Taarbæk;2020-12-07;47
175;Rødovre;2020-12-07;30
183;Ishøj;2020-12-07;18
185;Tårnby;2020-12-07;34
187;Vallensbæk;2020-12-07;5
190;Furesø;2020-12-07;18
201;Allerød;2020-12-07;14
210;Fredensborg;2020-12-07;17
217;Helsingør;2020-12-07;23
219;Hillerød;2020-12-07;32
223;Hørsholm;2020-12-07;10
230;Rudersdal;2020-12-07;40
240;Egedal;2020-12-07;20
250;Frederikssund;2020-12-07;12
253;Greve;2020-12-07;20
259;Køge;2020-12-07;38
260;Halsnæs;2020-12-07;6
265;Roskilde;2020-12-07;46
269;Solrød;2020-12-07;29
270;Gribskov;2020-12-07;17
306;Odsherred;2020-12-07;9
316;Holbæk;2020-12-07;24
320;Faxe;2020-12-07;16
326;Kalundborg;2020-12-07;14
329;Ringsted;2020-12-07;22
330;Slagelse;2020-12-07;45
336;Stevns;2020-12-07;10
340;Sorø;2020-12-07;17
350;Lejre;2020-12-07;8
360;Lolland;2020-12-07;5
370;Næstved;2020-12-07;24
376;Guldborgsund;2020-12-07;28
390;Vordingborg;2020-12-07;27
400;Bornholm;2020-12-07;8
410;Middelfart;2020-12-07;10
420;Assens;2020-12-07;6
430;Faaborg-Midtfyn;2020-12-07;6
440;Kerteminde;2020-12-07;6
450;Nyborg;2020-12-07;5
461;Odense;2020-12-07;106
479;Svendborg;2020-12-07;9
480;Nordfyn;2020-12-07;17
482;Langeland;2020-12-07;1
510;Haderslev;2020-12-07;11
530;Billund;2020-12-07;2
540;Sønderborg;2020-12-07;7
550;Tønder;2020-12-07;7
561;Esbjerg;2020-12-07;27
563;Fanø;2020-12-07;1
573;Varde;2020-12-07;6
575;Vejen;2020-12-07;8
580;Aabenraa;2020-12-07;9
607;Fredericia;2020-12-07;18
615;Horsens;2020-12-07;19
621;Kolding;2020-12-07;22
630;Vejle;2020-12-07;25
657;Herning;2020-12-07;11
661;Holstebro;2020-12-07;43
665;Lemvig;2020-12-07;3
671;Struer;2020-12-07;6
706;Syddjurs;2020-12-07;4
707;Norddjurs;2020-12-07;6
710;Favrskov;2020-12-07;26
727;Odder;2020-12-07;6
730;Randers;2020-12-07;34
740;Silkeborg;2020-12-07;20
741;Samsø;2020-12-07;1
746;Skanderborg;2020-12-07;22
751;Århus;2020-12-07;200
756;Ikast-Brande;2020-12-07;19
760;Ringkøbing-Skjern;2020-12-07;2
766;Hedensted;2020-12-07;8
773;Morsø;2020-12-07;2
787;Thisted;2020-12-07;6
791;Viborg;2020-12-07;11
810;Brønderslev;2020-12-07;3
813;Frederikshavn;2020-12-07;3
820;Vesthimmerland;2020-12-07;1
840;Rebild;2020-12-07;6
846;Mariagerfjord;2020-12-07;6
849;Jammerbugt;2020-12-07;3
851;Aalborg;2020-12-07;74
860;Hjørring;2020-12-07;1
101;København;2020-12-08;757
147;Frederiksberg;2020-12-08;122
151;Ballerup;2020-12-08;39
153;Brøndby;2020-12-08;12
155;Dragør;2020-12-08;13
157;Gentofte;2020-12-08;68
159;Gladsaxe;2020-12-08;71
161;Glostrup;2020-12-08;9
163;Herlev;2020-12-08;27
165;Albertslund;2020-12-08;26
167;Hvidovre;2020-12-08;42
169;Høje Tåstrup;2020-12-08;26
173;Lyngby-Taarbæk;2020-12-08;39
