"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;;50-59;954;2022-01-31
011;;50-59;328;2022-01-31
012;;50-59;8;2022-01-31
019;;50-59;47;2022-01-31
101;København;50-59;20869;2022-01-31
147;Frederiksberg;50-59;3649;2022-01-31
151;Ballerup;50-59;2094;2022-01-31
153;Brøndby;50-59;1551;2022-01-31
155;Dragør;50-59;633;2022-01-31
157;Gentofte;50-59;3582;2022-01-31
159;Gladsaxe;50-59;2766;2022-01-31
161;Glostrup;50-59;942;2022-01-31
163;Herlev;50-59;1216;2022-01-31
165;Albertslund;50-59;1210;2022-01-31
167;Hvidovre;50-59;2164;2022-01-31
169;Høje Tåstrup;50-59;2010;2022-01-31
173;Lyngby-Taarbæk;50-59;2144;2022-01-31
175;Rødovre;50-59;1652;2022-01-31
183;Ishøj;50-59;1059;2022-01-31
185;Tårnby;50-59;1840;2022-01-31
187;Vallensbæk;50-59;623;2022-01-31
190;Furesø;50-59;1630;2022-01-31
201;Allerød;50-59;990;2022-01-31
210;Fredensborg;50-59;1689;2022-01-31
217;Helsingør;50-59;2773;2022-01-31
219;Hillerød;50-59;2182;2022-01-31
223;Hørsholm;50-59;1111;2022-01-31
230;Rudersdal;50-59;2431;2022-01-31
240;Egedal;50-59;1862;2022-01-31
250;Frederikssund;50-59;1870;2022-01-31
253;Greve;50-59;2236;2022-01-31
259;Køge;50-59;2464;2022-01-31
260;Halsnæs;50-59;1097;2022-01-31
265;Roskilde;50-59;3395;2022-01-31
269;Solrød;50-59;957;2022-01-31
270;Gribskov;50-59;1621;2022-01-31
306;Odsherred;50-59;847;2022-01-31
316;Holbæk;50-59;2323;2022-01-31
320;Faxe;50-59;1284;2022-01-31
326;Kalundborg;50-59;1366;2022-01-31
329;Ringsted;50-59;1194;2022-01-31
330;Slagelse;50-59;2352;2022-01-31
336;Stevns;50-59;870;2022-01-31
340;Sorø;50-59;885;2022-01-31
350;Lejre;50-59;994;2022-01-31
360;Lolland;50-59;1209;2022-01-31
370;Næstved;50-59;2667;2022-01-31
376;Guldborgsund;50-59;1863;2022-01-31
390;Vordingborg;50-59;1361;2022-01-31
400;Bornholm;50-59;1004;2022-01-31
410;Middelfart;50-59;1034;2022-01-31
420;Assens;50-59;962;2022-01-31
430;Faaborg-Midtfyn;50-59;1236;2022-01-31
440;Kerteminde;50-59;695;2022-01-31
450;Nyborg;50-59;914;2022-01-31
461;Odense;50-59;5211;2022-01-31
479;Svendborg;50-59;1557;2022-01-31
480;Nordfyn;50-59;829;2022-01-31
482;Langeland;50-59;237;2022-01-31
492;Ærø;50-59;108;2022-01-31
510;Haderslev;50-59;1384;2022-01-31
530;Billund;50-59;615;2022-01-31
540;Sønderborg;50-59;1776;2022-01-31
550;Tønder;50-59;856;2022-01-31
561;Esbjerg;50-59;3164;2022-01-31
563;Fanø;50-59;59;2022-01-31
573;Varde;50-59;1266;2022-01-31
575;Vejen;50-59;1031;2022-01-31
580;Aabenraa;50-59;1381;2022-01-31
607;Fredericia;50-59;1260;2022-01-31
615;Horsens;50-59;2211;2022-01-31
621;Kolding;50-59;2311;2022-01-31
