Date;Number_of_deaths;Cumulative_number_of_deaths;Confirmed_cases;Admissions_hospital;7day_r_value
2021-09-20;3;2635;378;17;0.9184735472679966
2021-09-21;1;2636;339;12;0.9778079710144928
2021-09-22;4;2640;356;13;1.0348999534667287
2021-09-23;2;2642;367;10;1.0669180018850142
2021-09-24;2;2644;349;13;1.1288951841359773
2021-09-25;3;2647;333;10;1.1454377026401112
2021-09-26;2;2649;351;19;1.1587230215827338
2021-09-27;5;2654;482;12;1.221731448763251
2021-09-28;2;2656;528;9;1.178168130489335
2021-09-29;2;2658;407;16;1.1690254751314193
2021-09-30;3;2661;441;12;1.1393092743500195
2021-10-01;3;2664;394;22;1.0578452639190166
2021-10-02;1;2665;323;6;1.0575079872204474
2021-10-03;0;2665;404;9;1.0525769629885853
2021-10-04;0;2665;546;17;1.0466621253405994
2021-10-05;2;2667;558;22;1.124401913875598
2021-10-06;2;2669;624;20;1.1755622692178584
2021-10-07;2;2671;653;11;1.217877094972067
2021-10-08;0;2671;598;12;1.2528473804100229
2021-10-09;2;2673;467;17;1.2148936170212765
2021-10-10;2;2675;551;14;1.1996002284408909
2021-10-11;2;2677;750;17;1.186994063680518
2021-10-12;0;2677;756;13;1.174025974025974
2021-10-13;4;2681;745;38;1.1601200900675506
2021-10-14;1;2682;770;23;1.1164008569388242
2021-10-15;2;2684;651;29;1.0957035689929528
2021-10-16;3;2687;597;24;1.1017699115044248
2021-10-17;4;2691;711;20;1.118611171015743
2021-10-18;1;2692;957;36;1.1831556503198295
2021-10-19;3;2695;1118;22;1.2605809128630705
2021-10-20;2;2697;1272;38;1.3453815261044177
2021-10-21;2;2699;1394;34;1.40427993059572
2021-10-22;1;2700;1235;42;1.420436114615246
2021-10-23;1;2701;1195;33;1.4160631994733377
2021-10-24;0;2701;1433;43;1.3819402985074627
2021-10-25;4;2705;1612;37;1.378226249313564
2021-10-26;3;2708;1898;36;1.3426795229637147
2021-10-27;2;2710;1816;54;1.2728963272896328
2021-10-28;1;2711;1763;43;1.2234582568311914
2021-10-29;4;2715;1611;48;1.1487199920310789
2021-10-30;3;2718;1399;43;1.1148067655674194
2021-10-31;2;2720;1699;46;1.1301132213294376
2021-11-01;0;2720;2191;63;1.1292372881355932
2021-11-02;3;2723;2313;59;1.1507977800901839
2021-11-03;3;2726;2295;51;1.1737582641125615
2021-11-04;8;2734;2340;62;1.1668417225498908
2021-11-05;3;2737;2205;48;1.1723733583489682
2021-11-06;4;2741;1954;44;1.195689850048979
2021-11-07;4;2745;2570;57;1.2269641825534374
2021-11-08;1;2746;3314;63;1.2606979642708767
2021-11-09;3;2749;3529;52;1.2929919317196772
2021-11-10;4;2753;3479;68;1.2895765061759517
2021-11-11;4;2757;3412;65;1.2479547995997882
2021-11-12;6;2763;2946;77;1.2152468830669523
2021-11-13;9;2772;2876;63;1.1655922850807074
2021-11-14;6;2778;3046;67;1.1606802521624395
2021-11-15;9;2787;4463;86;1.1461045085832862
2021-11-16;4;2791;4080;82;1.1171924432793998
2021-11-17;3;2794;3896;77;1.1253871338819574
2021-11-18;8;2802;4129;77;1.1178897730621868
2021-11-19;8;2810;4061;78;1.1256275203686938
2021-11-20;4;2814;3680;84;1.1307900805048747
2021-11-21;4;2818;3643;72;1.0982858940084919
2021-11-22;7;2825;4447;90;1.073707205001695
2021-11-23;11;2836;4652;82;1.0444891244745018
2021-11-24;10;2846;3960;73;1.018746422438466
2021-11-25;12;2858;4033;87;1.0205827605956472
2021-11-26;12;2870;4096;87;1.004174266872457
2021-11-27;9;2879;3796;72;1.008644827103458
2021-11-28;15;2894;3835;77;1.0320269700800675
2021-11-29;9;2903;5016;83;1.05513661393848
2021-11-30;13;2916;5347;97;1.0684318999545883
2021-12-01;5;2921;4463;84;1.0777611992088552
2021-12-02;13;2934;4507;87;1.0911596570028583
2021-12-03;12;2946;5103;98;1.1072698866469435
2021-12-04;9;2955;5039;90;1.1190413914863009
2021-12-05;7;2962;4752;80;1.1656793303283965
2021-12-06;9;2971;6995;112;1.1865469173917111
2021-12-07;7;2978;7190;93;1.2052236565595917
2021-12-08;16;2994;6560;100;1.231834516609694
2021-12-09;8;3002;6523;85;1.2114566646412197
2021-12-10;9;3011;6803;117;1.1932245262687586
2021-12-11;11;3022;6578;77;1.186494295820256
2021-12-12;7;3029;6984;95;1.2080309283240833
2021-12-13;10;3039;10295;117;1.2495098262733118
2021-12-14;7;3046;11063;99;1.2999713662694654
2021-12-15;11;3057;10774;135;1.3156425167425945
2021-12-16;10;3067;10171;112;1.305224510631614
2021-12-17;14;3081;10614;124;1.276301864759333
2021-12-18;12;3093;10048;105;1.2401897661809556
2021-12-19;13;3106;10231;95;1.215756047743665
2021-12-20;12;3118;13288;123;1.1753786910152078
2021-12-21;11;3129;13012;128;1.128750947118615
2021-12-22;14;3143;11591;141;1.1119186840810973
2021-12-23;18;3161;12604;137;1.0215122918006536
2021-12-24;10;3171;7054;89;0.9679285366914946
2021-12-25;11;3182;7852;118;0.9672091697802546
2021-12-26;10;3192;10965;107;1.0528947756426008
2021-12-27;8;3200;22615;178;1.2159634064860976
2021-12-28;11;3211;21955;171;1.3260524645652634
2021-12-29;9;3220;17247;179;1.4000340465652255
2021-12-30;9;3229;19227;165;1.2788559158857784
2021-12-31;11;3240;9728;121;1.1662369499978866
2022-01-01;12;3252;8631;169;1.1896262912296096
2022-01-02;10;3262;19907;171;1.1440022447738858
2022-01-03;15;3277;25616;220;1.132020549507706
2022-01-04;15;3292;23701;177;1.1270386343867789
2022-01-05;16;3308;17579;154;1.0106361579079708
2022-01-06;16;3324;15417;168;1.0243477692112728
2022-01-07;17;3341;14438;137;1.049759384798923
2022-01-08;14;3355;13572;122;1.0182170449155472
2022-01-09;16;3371;16332;155;1.0307516234170129
2022-01-10;17;3388;23248;184;0.9836617739785616
2022-01-11;18;3406;22656;198;0.9847577363126776
2022-01-12;17;3423;22582;189;1.0785756582843156
2022-01-13;15;3438;23779;200;1.1912348033181266
2022-01-14;13;3451;25886;179;1.2955810519141202
2022-01-15;9;3460;25187;165;1.3374322585675855
2022-01-16;17;3477;28181;199;1.389130864450577
2022-01-17;11;3488;41494;249;1.400918577555638
2022-01-18;8;3496;40304;238;1.3930669505855828
2022-01-19;25;3521;37600;213;1.3764072784939279
2022-01-20;22;3543;37428;224;1.3047822306537034
2022-01-21;20;3563;37408;219;1.2396956796343528
2022-01-22;10;3573;34714;212;1.2002193938794503
2022-01-23;15;3588;38018;236;1.1825991189427312
2022-01-24;15;3603;53716;288;1.1614324601578339
2022-01-25;21;3624;48689;292;1.1344383558447317
2022-01-26;19;3643;41724;279;1.0988552849426518
2022-01-27;16;3659;39088;290;1.0455141338452942
2022-01-28;18;3677;35946;250;0.9923289043129918
2022-01-29;16;3693;28186;218;0.8918741022362245
2022-01-30;11;3704;12808;195;0.703719359006262
